order_id,customer_id,order_timestamp,order_value,product_category,payment_mode,discount_applied,delivery_pincode_tier,bayesian_return_rate,customer_purchase_frequency,account_age_days,days_since_last_order,returns_last_30d,returns_last_90d,category_x_payment_mode,order_value_vs_customer_avg,pincode_tier_x_category,return_probability,returned
ORD008095,C01622,2024-01-01 00:25:37,3125.35,beauty,prepaid_card,10.6,tier2,0.2,0.0,281,-1,0,0,beauty_prepaid_card,1.0,tier2_beauty,0.173983,0
ORD001144,C00224,2024-01-01 00:26:18,4173.84,electronics_accessories,wallet,10.1,tier3,0.2,0.0,472,-1,0,0,electronics_accessories_wallet,1.0,tier3_electronics_accessories,0.063528,0
ORD008943,C01809,2024-01-01 00:29:13,879.33,footwear,prepaid_card,0.0,tier3,0.2,0.0,406,-1,0,0,footwear_prepaid_card,1.0,tier3_footwear,0.259652,0
ORD008267,C01659,2024-01-01 01:51:28,2000.07,apparel,prepaid_card,0.0,tier2,0.2,0.0,146,-1,0,0,apparel_prepaid_card,1.0,tier2_apparel,0.296642,0
ORD004980,C00988,2024-01-01 01:53:38,2101.6,groceries,UPI,16.1,tier2,0.2,0.0,158,-1,0,0,groceries_UPI,1.0,tier2_groceries,0.062873,0
ORD000133,C00024,2024-01-01 02:05:46,2341.71,home_goods,UPI,0.0,tier2,0.2,0.0,301,-1,0,0,home_goods_UPI,1.0,tier2_home_goods,0.105683,0
ORD007481,C01499,2024-01-01 02:24:53,2139.46,groceries,COD,0.0,metro,0.2,0.0,187,-1,0,0,groceries_COD,1.0,metro_groceries,0.058003,0
ORD004206,C00830,2024-01-01 02:27:27,1494.16,home_goods,UPI,0.0,metro,0.2,0.0,302,-1,0,0,home_goods_UPI,1.0,metro_home_goods,0.054838,0
ORD005991,C01204,2024-01-01 02:32:17,1148.95,home_goods,COD,0.0,tier2,0.2,0.0,125,-1,0,0,home_goods_COD,1.0,tier2_home_goods,0.094182,0
ORD006306,C01275,2024-01-01 02:59:39,2040.96,electronics_accessories,prepaid_card,24.9,metro,0.2,0.0,107,-1,0,0,electronics_accessories_prepaid_card,1.0,metro_electronics_accessories,0.060274,0
ORD008096,C01622,2024-01-01 03:22:04,1932.29,groceries,wallet,0.0,tier2,0.181818,0.1068,281,0,0,0,groceries_wallet,0.6183,tier2_groceries,0.052592,0
ORD004390,C00869,2024-01-01 03:23:47,1526.46,beauty,COD,0.0,tier2,0.2,0.0,538,-1,0,0,beauty_COD,1.0,tier2_beauty,0.193132,0
ORD009230,C01871,2024-01-01 03:36:07,1254.9,electronics_accessories,UPI,0.0,metro,0.2,0.0,396,-1,0,0,electronics_accessories_UPI,1.0,metro_electronics_accessories,0.03579,0
ORD004552,C00899,2024-01-01 03:51:57,1577.13,home_goods,UPI,0.0,tier3,0.2,0.0,359,-1,0,0,home_goods_UPI,1.0,tier3_home_goods,0.074206,0
